"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
1501,MAIN ROAD PAR,"6,000","9,000","6,000","14,000","10,800","9,200","8,400","30,900","29,300","27,700",0,0,"12,00,000","12,00,000","6,000","9,000"
1502,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
1503,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
"Urban Local Body : PICHOR, Sub-Area : NAGAR PANCHAYAT PICHOR, Ward : WARD NO. 11, Tehsil : Dabra",,,,,,,,,,,,,,,,,
1504,MAIN ROAD PAR,"6,000","9,000","6,000","14,000","10,800","9,200","8,400","30,900","29,300","27,700",0,0,"12,00,000","12,00,000","6,000","9,000"
1505,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,400",0,0,"12,00,000","12,00,000","3,000","4,500"
1506,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"2,400","3,600","2,400","10,400","7,200","5,600","4,800","25,500","23,800","22,300",0,0,"12,00,000","12,00,000","2,400","3,600"
"Urban Local Body : PICHOR, Sub-Area : NAGAR PANCHAYAT PICHOR, Ward : WARD NO. 12, Tehsil : Dabra",,,,,,,,,,,,,,,,,
1507,MAIN ROAD PAR,"6,000","9,000","6,000","14,000","10,800","9,200","8,400","30,600","29,000","27,400",0,0,"12,00,000","12,00,000","6,000","9,000"
1508,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
1509,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"2,400","3,600","2,400","10,400","7,200","5,600","4,800","25,500","23,800","22,300",0,0,"12,00,000","12,00,000","2,400","3,600"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1510,MAIN ROAD PAR,"6,000","9,000","6,000","14,000","10,800","9,200","8,400","30,900","29,300","27,700",0,0,"12,00,000","12,00,000","6,000","9,000"
1511,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
1512,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"2,400","3,600","2,400","10,400","7,200","5,600","4,800","25,500","23,800","22,300",0,0,"12,00,000","12,00,000","2,400","3,600"
"Urban Local Body : PICHOR, Sub-Area : NAGAR PANCHAYAT PICHOR, Ward : WARD NO. 14, Tehsil : Dabra",,,,,,,,,,,,,,,,,
1513,MAIN ROAD PAR,"7,200","10,800","7,200","15,200","12,000","10,400","9,600","32,700","31,100","29,500",0,0,"12,00,000","12,00,000","7,200","10,800"
1514,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
1515,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"2,400","3,600","2,400","10,400","7,200","5,600","4,800","25,500","23,800","22,300",0,0,"12,00,000","12,00,000","2,400","3,600"
"Urban Local Body : PICHOR, Sub-Area : NAGAR PANCHAYAT PICHOR, Ward : WARD NO. 15, Tehsil : Dabra",,,,,,,,,,,,,,,,,
1516,MAIN ROAD PAR,"6,000","9,000","6,000","14,000","10,800","9,200","8,400","30,900","29,300","27,700",0,0,"12,00,000","12,00,000","6,000","9,000"
1517,MAIN ROAD SE HATKAR 60 MITER TAK,"3,000","4,500","3,000","11,000","7,800","6,200","5,400","26,400","24,800","23,200",0,0,"12,00,000","12,00,000","3,000","4,500"
1518,MAIN ROAD SE HATKAR ANYA GALIYO MAI,"2,400","3,600","2,400","10,400","7,200","5,600","4,800","25,500","23,800","22,300",0,0,"12,00,000","12,00,000","2,400","3,600"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00001",,,,,,,,,,,,,,,,,
1519,SINGHARAN,560,810,560,"6,560","4,560","3,360","2,960","9,210","8,010","8,010",0,0,"10,33,000","10,33,000",560,810
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1520,GADAJAR,560,810,560,"6,560","4,560","3,360","2,960","9,210","8,010","8,010",0,0,"12,08,000","12,08,000",560,810
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00003",,,,,,,,,,,,,,,,,
1521,CHARKHA,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"8,98,800","8,98,800",550,840
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00004",,,,,,,,,,,,,,,,,
1522,BROAA,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"8,99,200","8,99,200",550,840
1523,SUKHANKHIRIYA,505,770,505,"6,505","4,505","3,305","2,905","9,070","7,870","7,870",0,0,"9,63,500","9,63,500",505,770
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00005",,,,,,,,,,,,,,,,,
1524,CHIRENTA ROAD PAR,"1,265","1,925","1,265","7,265","5,265","4,065","3,665","10,325","9,125","9,125",0,0,"10,45,000","10,45,000","1,265","1,925"
1525,CHIRETA,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"7,98,600","7,98,600",505,770
1526,IKHARA,460,690,460,"6,460","4,460","3,260","2,860","9,090","7,890","7,890",0,0,"8,05,000","8,05,000",460,690
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1527,BHANGARH ROAD PAR,"1,265","1,925","1,265","7,265","5,265","4,065","3,665","10,325","9,125","9,125",0,0,"7,95,300","7,95,300","1,265","1,925"
1528,BHANGHAR,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"6,61,100","6,61,100",440,660
1529,KRORA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","6,31,050",420,630
1530,SOTAKHIRIYA,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"6,61,100","6,61,100",440,660
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00007",,,,,,,,,,,,,,,,,
1531,BANHARI,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,99,250","7,99,250",515,760
1532,NIBI,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","6,31,050",420,630
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00008",,,,,,,,,,,,,,,,,
1533,BAGBAI (ROAD SAY 100 METTER BAD),"2,625","3,750","2,625","8,625","6,625","5,425","5,025","12,250","10,950","10,950",0,0,"11,55,000","11,55,000","2,625","3,750"
1534,BAGBAI (ROAD SAY 100 METTER TAK),"3,500","5,180","3,500","9,500","7,500","6,300","5,900","13,580","12,380","11,350",0,0,"12,88,750","12,88,750","3,500","5,180"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00009",,,,,,,,,,,,,,,,,
1535,BANSODI,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"7,78,800","7,78,800",440,660
1536,MACHARIYA,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,95,800","7,95,800",515,760
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1537,SANKHANI (ROAD SAY 100 METTER BAD),"3,125","4,685","3,125","9,125","7,125","5,925","5,525","13,085","11,885","11,885",0,0,"12,43,750","12,43,750","3,125","4,685"
1538,SANKHANI (ROAD SAY 100 METTER TAK),"3,750","5,625","3,750","9,750","7,750","6,550","6,150","14,025","12,825","12,825",0,0,"13,32,500","13,32,500","3,750","5,625"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00011",,,,,,,,,,,,,,,,,
1539,GODHARI,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"6,84,000","5,48,400",540,790
1540,JHAU,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"6,93,000","5,58,800",495,725
1541,KHADICHA,480,720,480,"6,480","4,480","3,280","2,880","9,120","7,920","7,920",0,0,"6,52,800","5,23,200",480,720
1542,LUHARI,540,790,540,"6,540","4,540","3,340","2,940","9,120","7,920","7,920",0,0,"7,56,000","6,09,600",540,790
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00012",,,,,,,,,,,,,,,,,
1543,BHUMESWAR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,28,300","5,72,900",400,600
1544,MANPUR,480,720,480,"6,480","4,480","3,280","2,880","9,120","7,920","7,920",0,0,"6,87,480","6,20,880",480,720
1545,PAWAYA,600,900,600,"6,600","4,600","3,400","3,000","9,300","8,100","8,100",0,0,"9,41,250","8,58,750",600,900
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1546,BAMROL,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"8,63,750","8,63,750",560,825
1547,BASAI,550,840,550,"6,550","4,550","3,350","2,950","9,225","8,025","8,025",0,0,"8,67,600","7,14,000",550,840
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00014",,,,,,,,,,,,,,,,,
1548,KARUAA,750,960,750,"6,750","4,750","3,550","3,150","9,460","8,260","8,260",0,0,"9,81,250","9,81,250",750,960
1549,KERUA ROAD PAR,"1,560","2,310","1,560","7,560","5,560","4,360","3,960","10,710","9,510","9,510",0,0,"14,75,000","14,75,000","1,560","2,310"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00015",,,,,,,,,,,,,,,,,
1550,gohinda,"1,500","2,250","1,500","7,500","5,500","4,300","3,900","10,650","9,450","9,450",0,0,"16,00,000","16,00,000","1,500","2,250"
1551,gohinda road par,"3,750","5,625","3,750","9,750","7,750","6,550","6,150","14,025","12,825","12,825",0,0,"21,81,250","21,81,250","3,750","5,625"
1552,rajan colony,"3,750","6,525","3,750","9,750","7,750","6,550","6,150","14,025","12,825","12,825",0,0,"21,81,250","21,81,250","3,750","6,525"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00018",,,,,,,,,,,,,,,,,
1553,KITHONDA,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"9,55,200","9,55,200",550,840
1554,NAYAGAON,525,805,525,"6,525","4,525","3,325","2,925","9,205","8,005","8,005",0,0,"9,48,750","9,48,750",525,805
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1555,DHAKAD KHIRIYA,480,735,480,"6,480","4,480","3,280","2,880","9,135","7,935","7,935",0,0,"6,91,950","6,91,950",480,735
1556,SHYAMPUR,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"7,95,300","7,95,300",505,770
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00020",,,,,,,,,,,,,,,,,
1557,JORA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","6,31,050",420,630
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00021",,,,,,,,,,,,,,,,,
1558,RAHI,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"8,67,600","8,67,600",550,840
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00022",,,,,,,,,,,,,,,,,
1559,BAILA,460,690,460,"6,460","4,460","3,260","2,860","9,090","7,890","7,890",0,0,"6,91,150","6,91,150",460,690
1560,MARGPUR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,94,650","7,94,650",515,760
1561,MSUDPUR,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"7,24,900","7,24,900",440,660
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00023",,,,,,,,,,,,,,,,,
1562,kheda tanka,600,900,600,"6,600","4,600","3,400","3,000","22,100","20,500","18,900",0,0,"9,06,250","9,06,250",600,900
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1563,RITHODAN,575,875,575,"6,575","4,575","3,375","2,975","9,275","8,075","8,075",0,0,"9,88,750","7,96,250",575,875
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00025",,,,,,,,,,,,,,,,,
1564,SYAU,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"8,63,750","7,87,500",560,825
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00026",,,,,,,,,,,,,,,,,
1565,HURHURI,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,91,950",420,630
1566,RICHARIKLA,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"7,23,800","7,23,800",505,770
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00027",,,,,,,,,,,,,,,,,
1567,ITO,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"5,70,150","4,37,850",420,630
1568,JATRATHI,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,25,550","7,25,550",470,690
1569,RICHARIKURDA,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,94,650","7,01,500",515,760
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00028",,,,,,,,,,,,,,,,,
1570,BAJANA,495,725,495,"6,495","4,495","3,295","2,895","9,130","7,925","7,925",0,0,"7,60,100","6,93,000",495,725
1571,GAJANA,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"7,24,900","6,61,100",440,660
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1572,DONGARPUR,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,00,100","6,61,500",470,690
1573,MUNDRI,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,31,050",420,630
1574,RUAR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,59,715","6,01,545",420,630
1575,TALPUR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"5,72,900","5,17,400",400,600
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00030",,,,,,,,,,,,,,,,,
1576,BHITRI,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,59,715","6,58,770",420,630
1577,CHITOLI,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"9,52,500","9,46,250",560,825
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00031",,,,,,,,,,,,,,,,,
1578,BAJOTA,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"7,57,700","7,57,700",400,600
1579,BUND,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,93,400","6,93,400",400,600
1580,HARSI,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"8,00,800","7,23,800",440,660
1581,KHAJURIYA,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,93,400","6,93,400",400,600
1582,SIDANI,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"7,57,700","7,57,700",400,600
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1583,BAILGADA,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,46,550","7,46,550",470,690
1584,JAKHAWAR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"8,30,550","8,30,550",420,630
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00033",,,,,,,,,,,,,,,,,
1585,DHOWAT,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,91,950",420,630
1586,KATHOD,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"8,29,200","8,29,200",540,790
1587,LODI,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,70,450","8,70,450",470,690
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00034",,,,,,,,,,,,,,,,,
1588,DAVRI KALA (ROAD SAY 100 METTER BAD),"3,435","5,185","3,435","9,435","7,435","6,235","5,835","13,285","12,385","12,385",0,0,"8,22,500","8,22,500","3,435","5,185"
1589,DAVRI KALA (ROAD SAY 100 METTER TAK),"4,000","6,000","4,000","10,000","8,000","6,800","6,400","14,400","13,200","13,200",0,0,"9,02,500","9,02,500","4,000","6,000"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00035",,,,,,,,,,,,,,,,,
1590,KHOR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"7,32,900","7,32,900",420,630
1591,MUSAHARI,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"9,11,900","9,11,900",495,725
1592,SAHBAI,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","6,31,050",420,630
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1593,MASTURA,900,"1,350",900,"6,900","4,900","3,700","3,300","9,750","8,550","8,550",0,0,"12,20,000","12,20,000",900,"1,350"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00037",,,,,,,,,,,,,,,,,
1594,GAGOTA,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"6,93,000","6,93,000",495,725
1595,KUPEDA,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"6,93,000","6,93,000",495,725
1596,MAWTHA,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,94,650","7,94,650",515,760
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00038",,,,,,,,,,,,,,,,,
1597,BANMOR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,59,000","6,59,000",400,600
1598,MASUDPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,01,500","6,01,500",420,630
1599,PLAYCHA,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,60,100","7,60,100",495,725
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00039",,,,,,,,,,,,,,,,,
1600,BANIYATOR,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"8,32,800","8,32,800",540,790
1601,SILHA,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,78,050","7,78,050",470,690
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1602,GHTKHIRIYA,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,25,550","7,25,550",470,690
1603,SAHARAN,660,990,660,"6,660","4,660","3,460","3,060","9,390","8,190","8,190",0,0,"13,47,500","13,47,500",660,990
1604,SAHARAN ROAD PAR,"1,650","2,475","1,650","7,650","5,650","4,450","4,050","10,875","9,675","9,675",0,0,"16,18,100","16,18,100","1,650","2,475"
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00041",,,,,,,,,,,,,,,,,
1605,AADAMPUR,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,25,550","7,25,550",470,690
1606,NAJARPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"7,25,550","7,25,550",420,630
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00042",,,,,,,,,,,,,,,,,
1607,DADQMAR,480,720,480,"6,480","4,480","3,280","2,880","9,120","7,920","7,920",0,0,"7,90,800","7,90,800",480,720
1608,DAVEGAR,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"7,87,500","7,87,500",560,825
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00043",,,,,,,,,,,,,,,,,
1609,ISEPUR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,01,000","6,01,000",400,600
1610,KHADABHITARWAR,600,900,600,"6,600","4,600","3,400","3,000","9,300","8,100","8,100",0,0,"9,41,250","9,41,250",600,900
1611,KUDAPAR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,94,650","7,94,650",515,760
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
