"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
56,AKBARPUR MUJAFTA MEN ROAD SAGAR TAL SE LINK ROAD TAK,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","3,00,00,000","3,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gird",,,,,,,,,,,,,,,,,
57,AKBARPURA MUJAFTA ROAD CHHODKAR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","2,50,00,000","2,50,00,000","12,000","18,000"
58,"AKTA COLONY,APNA GHAR COLONY, DAMODAR BAAG, CHANDAN NAGAR, SHEEL NAGAR,JATAV PURA ROAD SE HATKAR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","9,50,00,000","9,50,00,000","15,000","22,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
59,"BADNAPURA, RASHAMPURA SADA KI SADAKO PAR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","10,00,00,000","10,00,00,000","10,000","15,000"
60,"BADNAPURA,RASHAMPURA (A. B. ROAD SE DOOR)","9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","4,80,00,000","4,80,00,000","9,000","13,500"
61,HOMEGARD COLONY,"7,000","10,500","34,500","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","5,60,00,000","5,60,00,000","7,000","10,500"
